pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
Kepler-787,291.692465,38.572907,kepler787b,468.0,0.9283105,,4248.0,Transit,15.854,2458202.894,0.054
Kepler-845,290.957565,49.203812,kepler845b,471.0,0.92785982,,4913.0,Transit,14.631,2458203.281,0.059992
Kepler-1443,283.435761,47.066855,kepler1443b,475.0,2.41811321,,6289.0,Transit,12.278,2458203.236,0.09142
HAT-P-9,110.168529,37.140652,hatp9b,480.0,3.92289,0.78,6350.0,Transit,12.297,2458203.497,0.143
Kepler-1163,290.235843,50.030087,kepler1163b,487.0,6.11786898,,6302.0,Transit,12.168,2458202.969,0.1446
Kepler-1387,292.440396,43.209431,kepler1387b,491.0,2.27952666,,5046.0,Transit,14.589,2458203.286,0.06633
Kepler-607,291.057206,44.632381,kepler607b,500.0,0.6381632,,5196.0,Transit,14.405,2458202.151,0.049329
Kepler-607,291.057206,44.632381,kepler607b,500.0,0.6381632,,5196.0,Transit,14.405,2458202.789,0.049329
Kepler-607,291.057206,44.632381,kepler607b,500.0,0.6381632,,5196.0,Transit,14.405,2458202.151,0.049329
Kepler-607,291.057206,44.632381,kepler607b,500.0,0.6381632,,5196.0,Transit,14.405,2458202.789,0.049329
HAT-P-40,335.512861,45.457378,hatp40b,501.0,4.457243,0.615,6080.0,Transit,11.699,2458202.258,0.2557
Kepler-625,292.150459,39.637581,kepler625b,502.0,7.75192492,,5789.0,Transit,13.307,2458202.966,0.145204
Kepler-1537,294.385398,43.82547,kepler1537b,503.0,1.4444538,,5079.0,Transit,14.536,2458202.827,0.040617
Kepler-1315,295.821448,46.053029,kepler1315b,505.0,0.84338011,,4861.0,Transit,14.975,2458201.859,0.059842
Kepler-1197,291.669272,42.59071,kepler1197b,505.0,2.03231845,,4708.0,Transit,15.13,2458203.127,0.046725
Kepler-1566,283.587614,40.574927,kepler1566b,511.0,0.53991524,,5254.0,Transit,14.311,2458202.963,0.04746
Kepler-1566,283.587614,40.574927,kepler1566b,511.0,0.53991524,,5254.0,Transit,14.311,2458201.884,0.04746
