Tr_midp_date,Egress,Ingress,pl_hostname,ra,dec,Planet Name,st_dist,pl_orbper,pl_bmassj,st_teff,pl_discmethod,st_optmag,tr_midp_jd,pl_trandur
2018-03-25 07:38:23.999989,2018-03-25 08:49:07.320002,2018-03-25 06:27:40.679975,Kepler-790,19.127807800000003,38.872221,kepler790b,727.0,13.73469807,1e+20,5208.0,Transit,15.187,2458202.985,0.098225
2018-03-25 09:58:04.799995,2018-03-25 10:34:32.145604,2018-03-25 09:21:37.454385,Kepler-1317,19.440792066666667,42.115971,kepler1317b,734.0,0.56887443,1e+20,5144.0,Transit,15.23,2458203.082,0.050633
2018-03-25 09:58:04.799995,2018-03-25 10:34:32.145604,2018-03-25 09:21:37.454385,Kepler-1317,19.440792066666667,42.115971,kepler1317b,734.0,0.56887443,1e+20,5144.0,Transit,15.23,2458203.082,0.050633
2018-03-25 13:38:23.999989,2018-03-25 15:35:29.054381,2018-03-25 11:41:18.945597,Kepler-854,19.556752866666667,43.13464,kepler854b,741.0,2.14463285,1e+20,6179.0,Transit,13.48,2458203.235,0.162617
2018-03-25 11:47:31.199985,2018-03-25 13:07:08.255989,2018-03-25 10:27:54.143980,Kepler-1278,18.863795666666665,42.825619,kepler1278b,743.0,3.23941344,1e+20,6074.0,Transit,13.658,2458203.158,0.11058
2018-03-25 13:38:23.999989,2018-03-25 15:53:36.527984,2018-03-25 11:23:11.471994,Kepler-634,19.413004333333333,40.702706,kepler634b,757.0,5.16950177,1e+20,6075.0,Transit,13.55,2458203.235,0.18779
2018-03-25 11:59:02.400017,2018-03-25 13:08:49.344034,2018-03-25 10:49:15.456001,Kepler-770,19.099361866666666,38.374907,kepler770c,761.0,1.47532231,1e+20,5598.0,Transit,14.604,2458203.166,0.09692
2018-03-25 14:44:38.399996,2018-03-25 15:16:21.921597,2018-03-25 14:12:54.878396,Kepler-1320,19.228906066666664,40.380875,kepler1320b,771.0,0.86838653,1e+20,4817.0,Transit,15.898,2458203.281,0.044063
2018-03-25 09:01:55.200005,2018-03-25 10:10:50.347200,2018-03-25 07:53:00.052811,Kepler-1123,19.634511133333334,50.670399,kepler1123b,796.0,4.33946454,1e+20,5500.0,Transit,14.822,2458203.043,0.095721
2018-03-25 11:46:04.800011,2018-03-25 12:54:22.320010,2018-03-25 10:37:47.280011,Kepler-17,19.893018266666665,47.815006,kepler17b,800.0,1.4857108,2.45,5781.0,Transit,14.141,2458203.157,0.09485
2018-03-25 12:58:04.799995,2018-03-25 14:03:27.705612,2018-03-25 11:52:41.894377,Kepler-862,19.85195106666667,46.492741,kepler862b,806.0,3.14866453,1e+20,5333.0,Transit,15.297,2458203.207,0.090808
2018-03-25 14:17:16.800009,2018-03-25 14:55:59.534423,2018-03-25 13:38:34.065595,Kepler-1264,19.3256252,45.211502,kepler1264b,814.0,0.96852602,1e+20,5791.0,Transit,14.511,2458203.262,0.053767
2018-03-25 14:17:16.800009,2018-03-25 14:55:59.534423,2018-03-25 13:38:34.065595,Kepler-1264,19.3256252,45.211502,kepler1264b,814.0,0.96852602,1e+20,5791.0,Transit,14.511,2458203.262,0.053767
2018-03-25 10:09:35.999987,2018-03-25 12:38:44.361590,2018-03-25 07:40:27.638385,Kepler-562,19.341308466666664,46.273811,kepler562b,822.0,18.00931444,1e+20,5575.0,Transit,14.794,2458203.09,0.207138
2018-03-25 14:17:16.800009,2018-03-25 16:01:44.040004,2018-03-25 12:32:49.560014,Kepler-1073,19.61018,38.233048,kepler1073b,837.0,8.67888593,1e+20,5792.0,Transit,14.523,2458203.262,0.145075
2018-03-25 10:22:33.599994,2018-03-25 10:55:37.041579,2018-03-25 09:49:30.158409,Kepler-1284,19.41860013333333,47.687649,kepler1284b,852.0,0.66407381,1e+20,5123.0,Transit,15.645,2458203.099,0.045913
2018-03-25 10:22:33.599994,2018-03-25 10:55:37.041579,2018-03-25 09:49:30.158409,Kepler-1284,19.41860013333333,47.687649,kepler1284b,852.0,0.66407381,1e+20,5123.0,Transit,15.645,2458203.099,0.045913
2018-03-25 09:36:28.799983,2018-03-25 10:26:57.854364,2018-03-25 08:45:59.745602,Kepler-1011,19.826769733333332,46.824001,kepler1011b,860.0,5.75322197,1e+20,5416.0,Transit,15.196,2458203.067,0.070117
2018-03-25 13:41:16.800017,2018-03-25 14:32:29.227206,2018-03-25 12:50:04.372828,Kepler-724,19.563655866666668,44.792797,kepler724b,862.0,3.31494634,1e+20,5437.0,Transit,15.142,2458203.237,0.071121
2018-03-25 12:58:04.799995,2018-03-25 13:54:18.374414,2018-03-25 12:01:51.225575,Kepler-656,19.221859933333334,47.381592,kepler656b,867.0,1.26025909,1e+20,5281.0,Transit,15.342,2458203.207,0.078092
2018-03-25 07:06:43.199999,2018-03-25 08:47:36.945598,2018-03-25 05:25:49.454400,Kepler-761,19.366906933333333,44.143581,kepler761b,867.0,10.12804789,1e+20,5706.0,Transit,14.743,2458202.963,0.140133
2018-03-25 12:58:04.799995,2018-03-25 13:54:18.374414,2018-03-25 12:01:51.225575,Kepler-656,19.221859933333334,47.381592,kepler656b,867.0,1.26025909,1e+20,5281.0,Transit,15.342,2458203.207,0.078092
2018-03-25 14:41:45.600008,2018-03-25 15:44:50.265620,2018-03-25 13:38:40.934397,Kepler-1003,19.4680304,44.876217,kepler1003b,873.0,3.55485691,1e+20,6109.0,Transit,14.053,2458203.279,0.087608
2018-03-25 08:15:50.399995,2018-03-25 09:38:19.305600,2018-03-25 06:53:21.494390,Kepler-1098,19.700180333333332,43.232796,kepler1098b,876.0,2.54307286,1e+20,5794.0,Transit,14.736,2458203.011,0.114558
